,Unnamed: 0,County,Deaths,OB/GYNS,Lat,Lat2,Lng,Death Year,Deaths per Year,Year Deaths per 10000 Residents
74,0,Perry,0,0,37.8,38.3,-86.7,0,0,0
75,0,Pike,0,0,37.85,38.35,-87.3,2018,1,0.8
76,0,Posey,0,0,37.75,38.25,-87.95,0,0,0
77,0,Pulaski,0,0,40.9,41.4,-86.75,0,0,0
78,0,Putnam,0,0,39.45,39.95,-86.95,2018,1,0.26
79,0,Ripley,0,0,38.9,39.4,-85.3,0,0,0
80,0,Rush,0,0,39.1,39.6,-85.65,0,0,0
81,0,Scott,0,0,38.15,38.65,-85.6,0,0,0
82,0,Spencer,0,0,37.75,38.25,-87.05,0,0,0
83,0,Starke,0,0,40.9,41.4,-86.75,0,0,0
84,0,Sullivan,0,0,38.9,39.4,-87.5,0,0,0
85,0,Switzerland,0,0,38.65,39.15,-84.9,0,0,0
86,0,Tipton,0,0,39.9,40.4,-86,0,0,0
87,0,Union,0,0,39.25,39.75,-85.05,0,0,0
88,0,Vermillion,0,0,39.6,40.1,-87.35,0,0,0
89,0,Wabash,0,0,40.65,41.15,-85.85,0,0,0
90,0,Warrick,0,0,37.85,38.35,-87.3,0,0,0
91,0,Whitley,0,0,40.65,41.15,-85.5,2018,1,0.29
