County,County Code,Code,Lat,Lng,CMS Factor,(meters),(meters),(meters),(meters)
Steuben,76,76,41.5,85,1.000041,"240,000","36,000","240,000.00","91,536.49"
Sullivan,77,77,38.9,87.5,1.000017,"240,000","36,000","447,137.41","383,265.04"
Switzerland,78,15-58-78,38.65,84.9,1.000029,"240,000","36,000","231,714.68","408,002.77"
Tippecanoe,79,79-91,40.2,86.9,1.000026,"240,000","36,000","397,423.61","237,652.63"
Tipton,80,29-80,39.9,86,1.000034,"240,000","36,000","322,854.03","269,702.98"
Union,81,21-24-81,39.25,85.05,1.000038,"240,000","36,000","244,142.70","341,391.24"
Vanderburgh,82,82,37.8,87.55,1.000015,"240,000","36,000","451,280.03","505,491.86"
Vermillion,83,61-83,39.6,87.35,1.000022,"240,000","36,000","434,709.38","305,198.68"
Vigo,84,84,39.25,87.45,1.00002,"240,000","36,000","442,995.00","344,289.56"
Wabash,85,20-43-85,40.65,85.85,1.000033,"240,000","36,000","310,425.75","186,285.78"
Warren,86,23-86,39.95,87.3,1.000025,"240,000","36,000","430,566.96","266,225.35"
Warrick,87,63-87,37.85,87.3,1.000015,"240,000","36,000","430,565.05","499,355.11"
Washington,88,31-88,37.95,86.15,1.000027,"240,000","36,000","335,281.63","486,340.68"
Wayne,89,68-89,39.7,85.05,1.000044,"240,000","36,000","244,142.72","291,429.82"
Wells,90,90,40.55,85.25,1.000034,"240,000","36,000","260,713.40","197,071.60"
White,91,79-91,40.2,86.9,1.000026,"240,000","36,000","397,423.61","237,652.63"
Whitley,92,35-92,40.65,85.5,1.000034,"240,000","36,000","281,426.85","186,057.32"
